material,type,name,img,i1,i2,i3,i4,i5,i6
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,29,7,3,6,6,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,28,7,5,7,4,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,7,2,0,1,1,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,19,8,1,1,1,0
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,17,7,2,1,2,1
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,5,4,5,2,2,2
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,12,3,1,1,1,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,15,7,3,5,1,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,16,8,2,3,4,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,57,19,12,3,5,4
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,46,16,9,3,4,3
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,30,11,5,2,2,2
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0,2,1,1,1,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,5,6,5,4,5,0
wCork,Wood,Cork,./img/Axon_Wood.png,-5,2,2,2,2,0
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,-8,3,2,2,2,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,-2,6,3,3,4,0
