material,type,impact1,impact2,impact3,name,img
Granite,Masonry Veneer,18.19375415,0.353306264,0.045886373,Granite,./img/granite.png
Limestone,Masonry Veneer,11.45434466,0.330939354,0.045886373,Limestone,./img/limestone.png
Brick,Masonry Veneer,8.541837958,0.205456815,0.045886373,Brick,./img/brick.png
InsMetPanel,Face Sealed,8.534832323,0.079799848,0.045886373,Insulated Metal Panel,./img/insmetalpanel.png
Spandrel,Curtain Wall,15.83975783,0.224277264,0.045886373,Spandrel,./img/spandrel.png
GFRC,Rainscreen,14.60661742,0.144223589,0.045886373,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png
ACM,Rainscreen,10.48992559,0.077785153,0.045886373,Aluminum Composite Material (ACM),./img/acm.png
Terracotta,Rainscreen,7.991165875,0.341785344,0.045886373,Terracotta,./img/terracotta.png
PhenResin,Rainscreen,7.912379011,0.108582256,0.045886373,Phenolic Resin,./img/phenresin.png
FiberCement,Rainscreen,7.551004921,0.080254768,0.045886373,Fiber Cement,./img/fibercement.png
Zinc,Rainscreen,6.681329621,0.072381227,0.045886373,Formed Zinc Panel,./img/zinc.png
Granite1,Rainscreen,6.428921502,0.075701976,0.045886373,Granite,./img/granite1.png
Limestone1,Rainscreen,7.991165875,0.341785344,0.045886373,Limestone,./img/limestone1.png
Steel,Rainscreen,4.703733542,0.060136374,0.045886373,Formed Steel Panel,./img/steel1.png
Wood,Rainscreen,3.014402,0.081790941,0.045886373,Wood,./img/wood1.png
