material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25
mBaffle,Metal,Metal Baffle,./img/Axon_Stone.png,M - Baffle (Metal),0.001697129,0,0,0,0.530477626,0,0,0,0,1.910765287,0,0,0,0,0,0,0,0,0,0,0,0.409302565,0,0,0
mPan,Metal,Metal Pan,./img/Axon_Stone.png,M -  Metal Pan,0.004083317,0.328471889,0,0.000928605,0,0,0,0,0,0,2.497402302,0,0,0,0,0,0,0,0,0,0,0,0,0.778557204,0
mPerforatedPan,Metal,Perforated Metal Pan,./img/Axon_Stone.png,M - Perf Metal Pan,0.004083317,0.328471889,0,0.000928605,0,0,0,1.913197531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778557204,0
hcGypsum,Hard Ceiling,Gypsum,./img/Axon_Stone.png,HC - Gyp,0.004083317,0,0.885993033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701765082,0,0.412977355,0,0,0,0
hcMoistureResistantGyp,Hard Ceiling,Moisture Resistant Gypsum,./img/Axon_Stone.png,HC - Moisture Resistant Gyp,0.004083317,0,0.885993033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602959308,0,0,0.412977355,0,0,0,0
cFiberglassTrim,Cloud,Fiberglass (w/ Trim),./img/Axon_Stone.png,C - Fiberglass (w/ Trim),0.016333269,0.184765437,0,0,0,1.606708972,0,0,0.625433858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cFiberglass,Cloud,Fiberglass,./img/Axon_Stone.png,C - Fiberglass,0.016333269,0.184765437,0,0,0,1.606708972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltFiberglass,Lay-In Tile,Fiberglass,./img/Axon_Stone.png,LT - Fiberglass,0.004083317,0.328471889,0,0,0,1.606708972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltMineralBoard,Lay-In Tile,Mineral Board,./img/Axon_Stone.png,LT - Mineral Board,0.004083317,0.328471889,0,0,0,0,1.364405934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocAcousticalSpray,Open Ceiling,Acoustical Spray,./img/Axon_Stone.png,OC - Acoustical Spray,0,0,0,0,0,0,0,0,0,0,0,0.120894608,0,0,0,0,0,0,0,0,0,0,0,0,0
ocPaint,Open Ceiling,Paint,./img/Axon_Stone.png,OC - Paint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412977355,0,0,0,0
wVeneerDense,Wood,Dense Grille (Veneer),./img/Axon_Stone.png,W - Dense Grille (Veneer),0.003394257,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.00311607,0.889008967,2.016943052,0.006889439,0,0,0,0,0,0,0.036087104,0,0.008201619
wVeneerOpen,Wood,Open Grille (Veneer),./img/Axon_Stone.png,W - Open Grille (Veneer),0.003394257,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.003661993,0.967266798,1.512707289,0.005167079,0,0,0,0,0,0,0.027065328,0,0.009924176
wPoplarDense,Wood,Dense Grille (Poplar),./img/Axon_Stone.png,W - Dense Grille (Poplar),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.064478685,0,0,0,0,0,0,0,0,0,0,0,0.018903017
wPoplarOpen,Wood,Open Grille (Poplar),./img/Axon_Stone.png,W - Open Grille (Poplar),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.070138159,0,0,0,0,0,0,0,0,0,0,0,0.017950225
wWalnutDense,Wood,Dense Grille (Walnut),./img/Axon_Stone.png,W - Dense Grille (Walnut),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.00311607,0,0,0,0,0,0,0.213168718,0,0,0.024206249,0,0.008201619
wWalnutOpen,Wood,Open Grille (Walnut),./img/Axon_Stone.png,W - Open Grille (Walnut),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.003661993,0,0,0,0,0,0,0.230932777,0,0,0.018154686,0,0.009924176
wMapleDense,Wood,Dense Grille (Maple),./img/Axon_Stone.png,W - Dense Grille (Maple),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.00311607,0,0,0,-0.221119977,0,0,0,0,0,0.072618746,0,0.008201619
wMapleOpen,Wood,Open Grille (Maple),./img/Axon_Stone.png,W - Open Grille (Maple),0.004083317,0,0,0,1.060955251,0,0,0,0,0,0,0,-0.003661993,0,0,0,-0.239546641,0,0,0,0,0,0.018154686,0,0.009924176
